"","X","lon","lat","address"
"195",195,-106.1007279,34.7394776,"co rd a039, estancia, nm 87016, usa"
"197",197,-70.1545818,45.3596723,"hunter, west forks, me 04985, usa"
"201",201,-88.3200715,41.7605849,"aurora, il, usa"
"202",202,-122.2605222,37.5071591,"san carlos, ca, usa"
"204",204,-74.4056612,40.0583238,"new jersey, usa"
"206",206,-123.8264512,46.5180824,"pacific county, wa, usa"
"208",208,-75.1926937,40.1416782,"fort washington, pa, usa"
"209",209,-86.1349019,40.2671941,"indiana, usa"
"210",210,-95.712891,37.09024,"united states"
"211",211,-122.0651819,37.9100783,"walnut creek, ca, usa"
"212",212,-122.4014193,37.4337342,"san mateo county, ca, usa"
"217",217,-79.0192997,35.7595731,"north carolina, usa"
"222",222,-81.0998342,32.0835407,"savannah, ga, usa"
"225",225,-93.2619202,44.9725062,"701 park ave, minneapolis, mn 55415, usa"
"226",226,-76.3036051,36.860402,"825 fairfax ave, norfolk, va 23507, usa"
"229",229,-118.483332,34.156855,"16055 ventura blvd #630, encino, ca 91436, usa"
"230",230,-81.6943605,41.49932,"cleveland, oh, usa"
"235",235,-90.0715323,29.9510658,"new orleans, la, usa"
"238",238,-122.2913078,37.8271784,"san francisco bay area, ca, usa"
"239",239,-93.2650108,44.977753,"minneapolis, mn, usa"
"241",241,-121.6696689,36.7757907,"prunedale, ca, usa"
"242",242,-76.6121893,39.2903848,"baltimore, md, usa"
"243",243,-74.0059728,40.7127753,"new york, ny, usa"
"248",248,-71.0588801,42.3600825,"boston, ma, usa"
"249",249,-81.1637245,33.836081,"south carolina, usa"
"250",250,-96.7969879,32.7766642,"dallas, tx, usa"
"251",251,-74.0018051,40.4031645,"monmouth hills, middletown, nj 07716, usa"
"253",253,-117.7499909,34.055103,"pomona, ca, usa"
"254",254,-77.017983,38.9812717,"baltimore ave, takoma park, md 20912, usa"
"258",258,-84.3879824,33.7489954,"atlanta, ga, usa"
"260",260,-119.4179324,36.778261,"california, usa"
"262",262,-82.6501332,34.5034394,"anderson, sc, usa"
"263",263,-89.4012302,43.0730517,"madison, wi, usa"
"267",267,-77.4360481,37.5407246,"richmond, va, usa"
"270",270,-72.307869,43.7153482,"norwich, vt, usa"
"271",271,-80.8431267,35.2270869,"charlotte, nc, usa"
"272",272,-95.7257968,32.3593117,"mars, tx 75778, usa"
"274",274,-149.4936733,64.2008413,"alaska, usa"
"275",275,-115.1398296,36.1699412,"las vegas, nv, usa"
"279",279,-80.4549026,38.5976262,"west virginia, usa"
"280",280,-74.2776468,40.6081591,"rahway, nj 07065, usa"
"281",281,-81.378447,40.7989473,"canton, oh, usa"
"282",282,-122.9006951,47.0378741,"olympia, wa, usa"
"283",283,-117.1610838,32.715738,"san diego, ca, usa"
"284",284,-77.0483959,38.9028939,"2175 k st nw, washington, dc 20037, usa"
"287",287,-97.3516558,32.7732044,"tarrant county, tx, usa"
"288",288,-79.0558445,35.9131996,"chapel hill, nc, usa"
"289",289,-83.985,42.43472,"hell, mi 48169, usa"
"290",290,-84.3879824,33.7489954,"atlanta, ga, usa"
"294",294,-97.6836384,32.9659566,"springtown, tx 76082, usa"
"297",297,-118.344822,34.064049,"618 s detroit st, los angeles, ca 90036, usa"
"299",299,-94.5785667,39.0997265,"kansas city, mo, usa"
"301",301,-77.0909809,38.8816208,"arlington county, arlington, va, usa"
"302",302,-93.6091064,41.6005448,"des moines, ia, usa"
"303",303,-80.6495194,41.0997803,"youngstown, oh, usa"
"304",304,-119.4179324,36.778261,"california, usa"
"305",305,-111.5764087,40.2532608,"forest rd 027, utah, usa"
"306",306,-85.6023643,44.3148443,"michigan, usa"
"307",307,-74.0059728,40.7127753,"new york, ny, usa"
"310",310,-81.1637245,33.836081,"south carolina, usa"
"311",311,-96.7969879,32.7766642,"dallas, tx, usa"
"313",313,-82.5436722,27.763383,"tampa bay, florida, usa"
"315",315,-80.1917902,25.7616798,"miami, fl, usa"
"316",316,-122.0873174,37.7086449,"3649 swallow ct, castro valley, ca 94546, usa"
"318",318,-83.9207392,35.9606384,"knoxville, tn, usa"
"319",319,-84.2963223,37.568694,"berea, ky, usa"
"320",320,-77.4360481,37.5407246,"richmond, va, usa"
"321",321,-94.6169012,38.966673,"leawood, ks, usa"
"325",325,-121.4943996,38.5815719,"sacramento, ca, usa"
"326",326,-81.655651,30.3321838,"jacksonville, fl, usa"
"328",328,-97.0403352,32.8998091,"dfw international airport (dfw), 2400 aviation dr, dfw airport, tx 75261, usa"
"329",329,-77.0368707,38.9071923,"washington, dc, usa"
"330",330,-74.0059728,40.7127753,"new york, ny, usa"
"332",332,-85.6023643,44.3148443,"michigan, usa"
"333",333,-81.655651,30.3321838,"jacksonville, fl, usa"
"334",334,-119.4179324,36.778261,"california, usa"
"337",337,-81.5157535,27.6648274,"florida, usa"
"339",339,-122.4194155,37.7749295,"san francisco, ca, usa"
"349",349,-77.0365298,38.8976763,"1600 pennsylvania ave nw, washington, dc 20500, usa"
"350",350,-95.712891,37.09024,"united states"
"352",352,-89.2108873,31.6977723,"26 ms-28, laurel, ms 39443, usa"
"353",353,-118.4003563,34.0736204,"beverly hills, ca, usa"
"356",356,-77.0909809,38.8816208,"arlington county, arlington, va, usa"
"357",357,-77.0861753,38.707982,"3200 mount vernon hwy, mt vernon, va 22121, usa"
"358",358,-77.2310925,38.9187222,"tysons, va, usa"
"359",359,-77.4874416,39.0437567,"ashburn, va, usa"
"360",360,-77.059885,38.835719,"101 leadbeater st, alexandria, va 22305, usa"
"361",361,-77.0368707,38.9071923,"washington, dc, usa"
"362",362,-77.1963703,38.8303905,"annandale, va, usa"
"367",367,-71.2356113,42.3764852,"waltham, ma, usa"
"368",368,-111.8412502,33.3061605,"chandler, az, usa"
"370",370,-86.8752869,40.4167022,"lafayette, in, usa"
"376",376,-79.778127,36.1432586,"4215 yanceyville rd x, browns summit, nc 27214, usa"
"377",377,-82.9000751,32.1656221,"georgia, usa"
"378",378,-107.4338866,32.4507852,"co rd a021, deming, nm 88030, usa"
"379",379,-75.4816362,40.2773517,"9 pa-73, zieglerville, pa 19492, usa"
"383",383,-83.6129939,42.2411499,"ypsilanti, mi, usa"
"385",385,-94.3096871,41.8460962,"jamaica, ia 50128, usa"
"386",386,-81.0348144,34.0007104,"columbia, sc, usa"
"387",387,-87.964925,41.5992209,"il-7, illinois, usa"
"389",389,-94.658108,39.022807,"5835 lamar ave, mission, ks 66202, usa"
"391",391,-96.8059406,32.9072422,"11661 preston road # 154, dallas, tx 75230, united states"
"392",392,-121.111293,38.942856,"3255 sunset terrace, auburn, ca 95602, usa"
"393",393,-80.0905465,26.5317866,"boynton beach, fl, usa"
"394",394,-73.9441579,40.6781784,"brooklyn, ny, usa"
"395",395,-81.3601498,28.5379491,"fl-408, orlando, fl, usa"
