"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"770","@DLoesch I hope these cops are on mandatory forced overtime. Next year they need to organize with Blue flu for this… https://t.co/nZf6RYzrd6",FALSE,0,"DLoesch",2018-03-05 22:52:07,TRUE,"970681480916688896","970794110222139392","7702542","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LarryRichardBr1",0,FALSE,FALSE,NA,NA
"771","@avantghettonyc Seriously...of all times I could have gotten a flu, it had to be when I'd been offered a ticket to… https://t.co/gkorZ9beZx",FALSE,0,"avantghettonyc",2018-03-05 22:52:04,TRUE,"970793383911358465","970794101363892224","86376182","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dave_heumann",0,FALSE,FALSE,NA,NA
"772","RT @IDSAInfo: The spread of the flu virus is finally slowing. But it's still worth getting the vaccine. @BuzzFeed https://t.co/JJYTbpxegZ",FALSE,0,NA,2018-03-05 22:51:55,FALSE,NA,"970794061572509696",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","InfectiousDz",8,TRUE,FALSE,NA,NA
"773","Why I believe a killer flu pandemic is lurking just beyond the corner https://t.co/HmheUxMzge via @MailOnline",FALSE,0,NA,2018-03-05 22:51:52,FALSE,NA,"970794051141292033",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YappyHappy_",0,FALSE,FALSE,NA,NA
"774","@Kaaps_Loc BITCH I HAVE THE FLU",FALSE,1,"Kaaps_Loc",2018-03-05 22:51:47,FALSE,"970705523287916546","970794026403352577","765608476651454464","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zipzlap",0,FALSE,FALSE,NA,NA
"775","RT @theirishstory: Ida Milne on the great flu 1918, Wed 18:30 Teachers Club Parnell Square! Come along! https://t.co/Mp856rjeN5 via @TheIri…",FALSE,0,NA,2018-03-05 22:51:45,FALSE,NA,"970794021282091008",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","PlymPrivateer",12,TRUE,FALSE,NA,NA
"776","RT @MirrorPolitics: NHS has so many patients with flu or norovirus they could fill 10 hospitals
https://t.co/gg4O2lcrEQ https://t.co/piLz6n…",FALSE,0,NA,2018-03-05 22:51:37,FALSE,NA,"970793987396259840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BlackDansMam",19,TRUE,FALSE,NA,NA
"777","I was supposed to write my 1600 word essay due tomorrow BUTTTTT I woke up from my nap to see that my professor got… https://t.co/XsGp1eGPmi",FALSE,5,NA,2018-03-05 22:51:36,TRUE,NA,"970793981394087942",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","margaritaleon_",0,FALSE,FALSE,NA,NA
"778","My mom was going to come help clean our house before in laws arrive but my dad got the flu and my mom might be germ… https://t.co/FNl9ekeskr",FALSE,15,NA,2018-03-05 22:51:34,TRUE,NA,"970793973034844160",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","doodoodiIigence",0,FALSE,FALSE,NA,NA
"779","Sinusitis = peradangan pada rongga sinus yg ditandai dengan flu bertahun tahun akibat alergi debu dan sari bunga.",FALSE,0,NA,2018-03-05 22:51:31,FALSE,NA,"970793961362108417",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","tinggi_info",0,FALSE,FALSE,NA,NA
