"","X","lon","lat","address"
"1",1,-87.6297982,41.8781136,"chicago, il, usa"
"3",3,-110.926479,32.2217429,"tucson, az, usa"
"4",4,-81.7229086,41.4047742,"parma, oh, usa"
"7",7,-95.712891,37.09024,"united states"
"8",8,-91.8318334,35.20105,"arkansas, usa"
"10",10,-88.0070315,43.0166806,"west allis, wi, usa"
"11",11,-85.6023643,44.3148443,"michigan, usa"
"13",13,-79.6735841,41.6262707,"unknown, 101 w spring st, titusville, pa 16354, usa"
"14",14,-95.3698028,29.7604267,"houston, tx, usa"
"15",15,-118.2436849,34.0522342,"los angeles, ca, usa"
"17",17,-78.6381787,35.7795897,"raleigh, nc, usa"
"18",18,-96.1027371,29.3116366,"wharton, tx 77488, usa"
"19",19,-84.1916069,39.7589478,"dayton, oh, usa"
"20",20,-86.7816016,36.1626638,"nashville, tn, usa"
"22",22,-118.2436849,34.0522342,"los angeles, ca, usa"
"25",25,-77.4310992,38.8942786,"chantilly, va, usa"
"27",27,-94.658108,39.022807,"5835 lamar ave, mission, ks 66202, usa"
"28",28,-95.3698028,29.7604267,"houston, tx, usa"
"31",31,-80.3997748,26.1003654,"weston, fl, usa"
"32",32,-97.7430608,30.267153,"austin, tx, usa"
"34",34,-82.907123,40.4172871,"ohio, usa"
"35",35,-84.2029922,39.4353373,"lebanon, oh 45036, usa"
"37",37,-122.2913078,37.8271784,"san francisco bay area, ca, usa"
"39",39,-89.9366498,35.919568,"alabama st & mississippi ave, blytheville, ar 72315, usa"
"41",41,-96.7969879,32.7766642,"dallas, tx, usa"
"44",44,-97.0403352,32.8998091,"dfw international airport (dfw), 2400 aviation dr, dfw airport, tx 75261, usa"
"46",46,-95.712891,37.09024,"united states"
"47",47,-99.8124935,29.8851459,"real county, tx, usa"
"48",48,-97.0403352,32.8998091,"dfw international airport (dfw), 2400 aviation dr, dfw airport, tx 75261, usa"
"50",50,-96.7969879,32.7766642,"dallas, tx, usa"
"51",51,-121.8863286,37.3382082,"san jose, ca, usa"
"52",52,-76.6121893,39.2903848,"baltimore, md, usa"
"53",53,-95.712891,37.09024,"united states"
"59",59,-111.0937311,39.3209801,"utah, usa"
"60",60,-97.3307658,32.7554883,"fort worth, tx, usa"
"61",61,-97.4286988,37.6508529,"wichita dwight d. eisenhower national airport (ict), 2277 eisenhower airport pkwy, wichita, ks 67209, usa"
"67",67,-97.7430608,30.267153,"austin, tx, usa"
"68",68,-111.6709584,32.7558935,"arizona city, az 85123, usa"
"70",70,-78.7788498,35.7341718,"115 crescent commons suite 250, cary, nc 27518, usa"
"71",71,-75.749892,39.6826436,"83 e main st, newark, de 19711, usa"
"74",74,-119.7725868,36.7468422,"fresno, ca, usa"
"76",76,-79.9592134,40.5594832,"allison park, hampton township, pa, usa"
"77",77,-84.3896373,33.7517791,"50 lower alabama street #22, atlanta, ga 30303, usa"
"78",78,-80.1302936,25.7904697,"216 lincoln rd, miami beach, fl 33139, usa"
"80",80,-93.2650108,44.977753,"minneapolis, mn, usa"
"81",81,-95.712891,37.09024,"united states"
"87",87,-72.6850932,41.7637111,"hartford, ct, usa"
"88",88,-96.13446,41.0819432,"springfield, ne 68059, usa"
"89",89,-105.7820674,39.5500507,"colorado, usa"
"90",90,-95.6440493,29.7835917,"103 s texas 6, houston, tx 77079, usa"
"92",92,-83.1285242,40.5886699,"marion, oh 43302, usa"
"94",94,-90.0715323,29.9510658,"new orleans, la, usa"
"95",95,-78.8783689,42.8864468,"buffalo, ny, usa"
"97",97,-95.712891,37.09024,"united states"
"98",98,-149.9002778,61.2180556,"anchorage, ak, usa"
"99",99,-97.7430608,30.267153,"austin, tx, usa"
"104",104,-72.6699127,41.7314852,"901 wethersfield ave, hartford, ct 06114, usa"
"105",105,-71.467566,42.7653662,"nashua, nh, usa"
"107",107,-73.9464769,40.8115504,"harlem, new york, ny, usa"
"109",109,-119.4179324,36.778261,"california, usa"
"110",110,-120.8958242,38.8375215,"northern california, ca, usa"
"111",111,-119.4179324,36.778261,"california, usa"
"115",115,-122.3789554,37.6213129,"san francisco international airport (sfo), san francisco, ca 94128, usa"
"116",116,-104.6091409,38.2544472,"pueblo, co, usa"
"118",118,-80.634891,35.184371,"8832 brigadier ln, mint hill, nc 28227, usa"
"119",119,-94.1604605,36.0629711,"30 n block ave, fayetteville, ar 72701, usa"
"122",122,-76.6121893,39.2903848,"baltimore, md, usa"
"124",124,-77.0340315,38.9031004,"1015 15th st nw #750, washington, dc 20005, usa"
"127",127,-84.2946539,37.7478572,"richmond, ky, usa"
"128",128,-97.7430608,30.267153,"austin, tx, usa"
"129",129,-118.2973745,34.0130011,"1198 leighton ave, los angeles, ca 90037, usa"
"131",131,-91.6656232,41.9778795,"cedar rapids, ia, usa"
"134",134,-74.0657817,40.599802,"major ave, staten island, ny 10305, usa"
"136",136,-122.2416355,37.7652065,"alameda, ca, usa"
"137",137,-77.3133268,40.4732862,"your mom, lyons rd, millerstown, pa 17062, usa"
"142",142,-95.1545019,29.7119725,"tx-225, texas, usa"
"143",143,-72.6874023,44.4654332,"stowe, vt 05672, usa"
"144",144,-118.2436849,34.0522342,"los angeles, ca, usa"
"150",150,-89.3985283,40.6331249,"illinois, usa"
"159",159,-84.6505034,39.3122782,"ross, oh, usa"
"161",161,-95.712891,37.09024,"united states"
"162",162,-94.1800384,30.7918476,"corp of eng rd, woodville, tx 75979, usa"
"163",163,-73.7562317,42.6525793,"albany, ny, usa"
"164",164,-96.7969879,32.7766642,"dallas, tx, usa"
"166",166,-74.0059728,40.7127753,"new york, ny, usa"
"167",167,-119.4179324,36.778261,"california, usa"
"168",168,-96.7311034,43.5445959,"sioux falls, sd, usa"
"169",169,-102.4107493,34.2331373,"earth, tx 79031, usa"
"170",170,-95.712891,37.09024,"united states"
"172",172,-87.6297982,41.8781136,"chicago, il, usa"
"173",173,-97.8428927,30.0817231,"buda, tx 78610, usa"
